Date,Open,High,Low,Close,Adj Close,Volume,days
2019-01-11,1444.439941,1448.280029,1437.449951,1447.380005,1447.380005,3447460000,223
2019-01-14,1446.5,1446.5,1431.310059,1432.810059,1432.810059,3689370000,224
2019-01-15,1432.849976,1445.219971,1432.130005,1445.219971,1445.219971,3601180000,225
2019-01-16,1445.910034,1460.310059,1445.910034,1454.699951,1454.699951,3882180000,226
2019-01-17,1453.829956,1470.839966,1448.550049,1467.25,1467.25,3802410000,227
2019-01-18,1466.689941,1487.209961,1466.689941,1482.5,1482.5,4009010000,228
2019-01-22,1479.819946,1479.819946,1451.01001,1457.449951,1457.449951,3923950000,229
2019-01-23,1457.72998,1468.47998,1444.969971,1454.26001,1454.26001,3358770000,230
2019-01-24,1454.22998,1465.339966,1453.72998,1464.410034,1464.410034,3449230000,231
2019-01-25,1466.790039,1484.599976,1466.790039,1482.849976,1482.849976,3821000000,232
2019-01-28,1480.280029,1480.280029,1464.77002,1473.540039,1473.540039,3630820000,233
2019-01-29,1473.540039,1477.01001,1469.310059,1471.449951,1471.449951,3518070000,234
2019-01-30,1473.380005,1490.51001,1467.569946,1486.939941,1486.939941,3883270000,235
2019-01-31,1486.640015,1500.73999,1484.819946,1499.420044,1499.420044,4953800000,236
2019-02-01,1499.530029,1504.51001,1495.469971,1502.050049,1502.050049,3782490000,237
2019-02-04,1501.969971,1517.550049,1500.130005,1517.540039,1517.540039,3369450000,238
2019-02-05,1517.920044,1524.209961,1512.719971,1520.22998,1520.22998,3597620000,239
2019-02-06,1520.170044,1520.890015,1511.180054,1518.02002,1518.02002,3486590000,240
2019-02-07,1516.699951,1516.699951,1494.369995,1505.630005,1505.630005,4114040000,241
2019-02-08,1504.170044,1506.599976,1495.119995,1506.390015,1506.390015,3649510000,242
2019-02-11,1506.819946,1519.209961,1505.670044,1518.97998,1518.97998,3395330000,243
2019-02-12,1520.140015,1538.890015,1520.140015,1538.22998,1538.22998,3843020000,244
2019-02-13,1538.290039,1545.73999,1536.25,1542.939941,1542.939941,3684910000,245
2019-02-14,1540.98999,1551.390015,1534.589966,1545.109985,1545.109985,3845390000,246
2019-02-15,1547.119995,1570.160034,1547.119995,1569.25,1569.25,3648680000,247
2019-02-19,1568.540039,1578.22998,1564.849976,1574.469971,1574.469971,3535270000,248
2019-02-20,1574.550049,1583.339966,1573.959961,1581.660034,1581.660034,3904830000,249
2019-02-21,1581.310059,1581.310059,1569.420044,1575.550049,1575.550049,3598260000,250
2019-02-22,1576.310059,1590.099976,1576.310059,1590.060059,1590.060059,3429350000,251
2019-02-25,1591.619995,1602.099976,1588.810059,1588.810059,1588.810059,3860260000,252
2019-02-26,1588.560059,1589.26001,1577.430054,1577.47998,1577.47998,3676200000,253
2019-02-27,1577.199951,1582.060059,1570.599976,1581.050049,1581.050049,3771790000,254
2019-02-28,1580.76001,1581.98999,1571.310059,1575.550049,1575.550049,4445780000,255
2019-03-01,1577.5,1590.290039,1576.130005,1589.640015,1589.640015,3994950000,256
2019-03-04,1590.150024,1594.23999,1564.47998,1575.439941,1575.439941,3949730000,257
2019-03-05,1575.689941,1575.849976,1567.670044,1568.280029,1568.280029,3631380000,258
2019-03-06,1568.310059,1568.439941,1536.819946,1536.819946,1536.819946,3800180000,259
2019-03-07,1536.76001,1536.969971,1521.609985,1523.630005,1523.630005,3932150000,260
2019-03-08,1522.530029,1523.23999,1510.650024,1521.880005,1521.880005,3424300000,261
2019-03-11,1522.800049,1548.930054,1522.800049,1548.880005,1548.880005,3764850000,262
2019-03-12,1549.030029,1555.300049,1545.51001,1549.829956,1549.829956,3432340000,263
2019-03-13,1550.27002,1562.670044,1550.27002,1555.880005,1555.880005,3782250000,264
2019-03-14,1555.869995,1555.869995,1549.209961,1549.640015,1549.640015,3505670000,265
2019-03-15,1550.5,1563.589966,1550.130005,1553.540039,1553.540039,5969780000,266
2019-03-18,1553.660034,1569.060059,1552.680054,1563.930054,1563.930054,3620770000,267
2019-03-19,1565.530029,1570.890015,1552.660034,1554.98999,1554.98999,3650740000,268
2019-03-20,1554.719971,1561.73999,1535.410034,1543.160034,1543.160034,3779160000,269
2019-03-21,1541.829956,1569.349976,1538.359985,1562.410034,1562.410034,3612620000,270
2019-03-22,1561.969971,1561.969971,1505.880005,1505.920044,1505.920044,4253730000,271
2019-03-25,1505.869995,1520.48999,1494.98999,1512.859985,1512.859985,3406110000,272
2019-03-26,1513.76001,1535.869995,1513.76001,1528.170044,1528.170044,3288570000,273
2019-03-27,1527.969971,1530.050049,1505.76001,1522.22998,1522.22998,3422400000,274
2019-03-28,1522.890015,1536.439941,1520.119995,1535.099976,1535.099976,3185460000,275
2019-03-29,1536.609985,1546.97998,1532.22998,1539.73999,1539.73999,3752520000,276
2019-04-01,1542.890015,1556.400024,1542.890015,1556.060059,1556.060059,3560090000,277
2019-04-02,1556.079956,1556.130005,1545.550049,1553.319946,1553.319946,3267210000,278
2019-04-03,1554.880005,1568.400024,1554.880005,1560.910034,1560.910034,3570000000,279
2019-04-04,1561.069946,1567.5,1558.359985,1567.48999,1567.48999,3038740000,280
2019-04-05,1568.22998,1582.609985,1568.22998,1582.560059,1582.560059,3155970000,281
2019-04-08,1581.349976,1581.349976,1571.209961,1579,1579,3056460000,282
2019-04-09,1577.51001,1577.51001,1558.390015,1559.680054,1559.680054,3032480000,283
2019-04-10,1560.02002,1581.650024,1560.02002,1581.550049,1581.550049,3092230000,284
2019-04-11,1581.930054,1583.72998,1577.369995,1579.140015,1579.140015,2970650000,285
2019-04-12,1581.380005,1589.72998,1580.22998,1584.800049,1584.800049,3726050000,286
2019-04-15,1585.170044,1587.97998,1574.72998,1579.170044,1579.170044,3114530000,287
2019-04-16,1580.26001,1585.430054,1579.48999,1582.790039,1582.790039,3403120000,288
2019-04-17,1584.130005,1588.599976,1561.569946,1567.599976,1567.599976,3648100000,289
2019-04-18,1567.089966,1569.199951,1556.109985,1565.75,1565.75,3507100000,290
2019-04-22,1565.219971,1565.219971,1554.459961,1560.040039,1560.040039,3010130000,291
2019-04-23,1560.530029,1587.579956,1560.530029,1585.089966,1585.089966,3674480000,292
2019-04-24,1585.109985,1594.030029,1583.359985,1588.130005,1588.130005,3468480000,293
2019-04-25,1587.050049,1587.050049,1565.459961,1575.609985,1575.609985,3440010000,294
2019-04-26,1575.660034,1591.25,1574.060059,1589.900024,1589.900024,3264390000,295
2019-04-29,1591.930054,1603.079956,1591.930054,1598.359985,1598.359985,3150390000,296
2019-04-30,1598.550049,1600.290039,1580.900024,1591.209961,1591.209961,3939760000,297
2019-05-01,1593.47998,1595.849976,1576.130005,1576.380005,1576.380005,3669330000,298
2019-05-02,1576,1587.920044,1566.459961,1582.650024,1582.650024,3802290000,299
2019-05-03,1584.01001,1614.02002,1584.01001,1614.02002,1614.02002,3357180000,300
2019-05-06,1611.680054,1618.369995,1588.839966,1614.97998,1614.97998,3203260000,301
2019-05-07,1611.469971,1611.469971,1571.48999,1582.310059,1582.310059,3793060000,302
2019-05-08,1581.589966,1587.349976,1574.849976,1574.969971,1574.969971,3543110000,303
2019-05-09,1573.339966,1573.339966,1546.849976,1570.060059,1570.060059,3659050000,304
2019-05-10,1570,1575.079956,1546.140015,1572.98999,1572.98999,3566780000,305
2019-05-13,1571.51001,1571.51001,1520.280029,1523,1523,3900270000,306
2019-05-14,1523.810059,1547.839966,1523.810059,1543.060059,1543.060059,3354860000,307
2019-05-15,1541.550049,1550.02002,1529.439941,1548.27002,1548.27002,3140900000,308
2019-05-16,1548.27002,1567.170044,1548.27002,1557.23999,1557.23999,3338470000,309
2019-05-17,1555.02002,1557.550049,1534.689941,1535.76001,1535.76001,3316040000,310
2019-05-20,1530.25,1533.359985,1521.630005,1524.959961,1524.959961,3293750000,311
2019-05-21,1529.819946,1545.97998,1529.819946,1545.25,1545.25,3223050000,312
2019-05-22,1542.579956,1542.579956,1528.359985,1531.630005,1531.630005,3194000000,313
2019-05-23,1525.069946,1525.069946,1493.47998,1501.380005,1501.380005,3899320000,314
2019-05-24,1505.880005,1516.660034,1505.76001,1514.109985,1514.109985,2889230000,315
2019-05-28,1514.98999,1520.219971,1503.810059,1504.02002,1504.02002,4146980000,316
